bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,1085.0,Shela,Furnished,Ready To Move,4800000.0,4423.96
2,1413.0,Zundal,Furnished,Under Construction,4710000.0,3333.33
1,418.0,Bopal,Furnished,Ready To Move,3200000.0,7655.5
2,700.0,Gota,Semi-Furnished,Ready To Move,4600000.0,6571.43
2,660.0,Shela,Furnished,Under Construction,4550000.0,6893.94
2,607.0,Khokhra,Semi-Furnished,Ready To Move,3500000.0,5766.06
2,675.0,Shela,Furnished,Ready To Move,4540000.0,6725.93
2,647.0,Bopal,Furnished,Under Construction,4670000.0,7217.93
2,1215.0,Nikol,Furnished,Ready To Move,3600000.0,2962.96
2,640.0,Jagatpur,Furnished,Ready To Move,4700000.0,7343.75
2,1278.0,Gota,Furnished,Ready To Move,5000000.0,3912.36
2,1080.0,Zundal,Furnished,Ready To Move,4800000.0,4444.44
2,760.0,Shela,Furnished,Under Construction,4200000.0,5526.32
1,460.0,Shantipura,Furnished,Under Construction,2900000.0,6304.35
2,1228.0,Shela,Furnished,Ready To Move,4600000.0,3745.93
2,1084.0,Shela,Furnished,Under Construction,4180000.0,3856.09
1,880.0,Gota,Furnished,Under Construction,3550000.0,4034.09
2,1290.0,Bopal,Furnished,Under Construction,4130000.0,3201.55
2,600.0,Shela,Furnished,Under Construction,5000000.0,8333.33
2,1100.0,Gota,Furnished,Ready To Move,4800000.0,4363.64
2,530.0,Chandlodiya,Furnished,Ready To Move,4500000.0,8490.57
1,510.0,Vinzol,Semi-Furnished,Ready To Move,2200000.0,4313.73
1,744.0,Chanakyapuri,Furnished,Ready To Move,3150000.0,4233.87
2,1265.0,Bopal,Furnished,Under Construction,4930000.0,3897.23
2,1120.0,Bopal,Furnished,Ready To Move,5000000.0,4464.29
2,1080.0,Narolgam,Semi-Furnished,Ready To Move,3000000.0,2777.78
2,850.0,Zundal,Furnished,Ready To Move,4500000.0,5294.12
1,635.0,Jagatpur,Semi-Furnished,Ready To Move,3400000.0,5354.33
2,1044.0,Nikol,Furnished,Ready To Move,4500000.0,4310.34
2,999.0,Bopal,Furnished,Ready To Move,4500000.0,4504.5
2,1260.0,Gota,Furnished,Ready To Move,4300000.0,3412.7
2,600.0,Shela,Furnished,Ready To Move,3900000.0,6500.0
2,597.0,Shela,Furnished,Ready To Move,3910000.0,6549.41
2,1140.0,Sardar Patel Ring,Furnished,Ready To Move,5000000.0,4385.96
2,700.0,Nana Chiloda,Furnished,Ready To Move,4000000.0,5714.29
2,765.0,Shela,Furnished,Ready To Move,4750000.0,6209.15
2,700.0,Shela,Furnished,Under Construction,4810000.0,6871.43
2,990.0,Satellite,Semi-Furnished,Ready To Move,4900000.0,4949.49
1,425.0,Bopal,Furnished,Ready To Move,1900000.0,4470.59
2,650.0,Bopal,Furnished,Under Construction,4900000.0,7538.46
2,630.0,Shela,Semi-Furnished,Under Construction,4310000.0,6841.27
2,1170.0,Tragad,Semi-Furnished,Ready To Move,4800000.0,4102.56
1,330.0,Gota,Furnished,Ready To Move,3500000.0,10606.06
2,800.0,Sardar Patel Ring,Semi-Furnished,Ready To Move,4500000.0,5625.0
1,458.0,Sardar Patel Ring,Furnished,Ready To Move,2100000.0,4585.15
2,650.0,Shela,Furnished,Under Construction,4970000.0,7646.15
2,620.0,Shantipura,Furnished,Under Construction,4530000.0,7306.45
1,414.0,Chandlodiya,Unfurnished,Ready To Move,3140000.0,7584.54
2,1170.0,Bopal,Semi-Furnished,Ready To Move,4500000.0,3846.15
2,1064.0,Makarba,Furnished,Ready To Move,4700000.0,4417.29
2,1140.0,Bopal,Furnished,Ready To Move,4500000.0,3947.37
1,360.0,Gota,Furnished,Ready To Move,3100000.0,8611.11
2,750.0,Shela,Semi-Furnished,Ready To Move,5000000.0,6666.67
2,420.0,Jagatpur,Furnished,Ready To Move,3020000.0,7190.48
2,700.0,Bopal,Furnished,Ready To Move,4600000.0,6571.43
2,1000.0,Bopal,Furnished,Ready To Move,5000000.0,5000.0
